name,trait,condition,checkpoint,target,median_rank,best_rank
Simon,curious,direct,distance_0_trigger_end,'curious' (leading-space),3.0,2
Simon,curious,direct,distance_10_filler_end,'curious' (leading-space),10391.0,1402
Simon,curious,direct,distance_1_filler_end,'curious' (leading-space),4151.5,2080
Simon,curious,direct,distance_2_filler_end,'curious' (leading-space),1348.5,274
Simon,curious,direct,distance_3_filler_end,'curious' (leading-space),1701.5,440
Simon,curious,direct,distance_4_filler_end,'curious' (leading-space),3521.5,1810
Simon,curious,direct,distance_5_filler_end,'curious' (leading-space),4040.5,1839
Simon,curious,direct,distance_6_filler_end,'curious' (leading-space),5627.0,1187
Simon,curious,direct,distance_7_filler_end,'curious' (leading-space),2808.0,1174
Simon,curious,direct,distance_8_filler_end,'curious' (leading-space),2185.0,885
Simon,curious,direct,distance_9_filler_end,'curious' (leading-space),1356.0,484
Simon,curious,direct,reintro_entity_mention,'curious' (leading-space),603.5,85
Simon,curious,direct,reintro_sentence_end,'curious' (leading-space),1701.5,329
Simon,curious,inferred,distance_0_trigger_end,'curious' (leading-space),44.0,6
Simon,curious,inferred,distance_10_filler_end,'curious' (leading-space),16476.0,3922
Simon,curious,inferred,distance_1_filler_end,'curious' (leading-space),21227.0,6775
Simon,curious,inferred,distance_2_filler_end,'curious' (leading-space),7360.5,637
Simon,curious,inferred,distance_3_filler_end,'curious' (leading-space),11383.5,3271
Simon,curious,inferred,distance_4_filler_end,'curious' (leading-space),9291.0,4635
Simon,curious,inferred,distance_5_filler_end,'curious' (leading-space),11141.5,5927
Simon,curious,inferred,distance_6_filler_end,'curious' (leading-space),14262.0,6082
Simon,curious,inferred,distance_7_filler_end,'curious' (leading-space),8593.5,3819
Simon,curious,inferred,distance_8_filler_end,'curious' (leading-space),8207.5,3325
Simon,curious,inferred,distance_9_filler_end,'curious' (leading-space),5007.5,1890
Simon,curious,inferred,reintro_entity_mention,'curious' (leading-space),2286.0,391
Simon,curious,inferred,reintro_sentence_end,'curious' (leading-space),5807.5,823
